Price,Area_sqft,Bedrooms,Bathrooms,Stories,MainRoad_Access,GuestRoom,Basement,HotWater_Heating,AirConditioning,Parking_Spaces,Preferred_Area,Furnishing_Status,Price_per_sqft
9100000,6000,4,1,2,1,0,1,0,0,2,0,1,1516.67
9100000,6600,4,2,2,1,1,1,0,1,1,1,0,1378.79
8960000,8500,3,2,4,1,0,0,0,1,2,0,2,1054.12
8890000,4600,3,2,2,1,1,0,0,1,2,0,2,1932.61
8855000,6420,3,2,2,1,0,0,0,1,1,1,1,1379.28
8750000,4320,3,1,2,1,0,1,1,0,2,0,1,2025.46
8680000,7155,3,2,1,1,1,1,0,1,2,0,0,1213.14
8645000,8050,3,1,1,1,1,1,0,1,1,0,2,1073.91
8645000,4560,3,2,2,1,1,1,0,1,1,0,2,1895.83
8575000,8800,3,2,2,1,0,0,0,1,2,0,2,974.43
8540000,6540,4,2,2,1,1,1,0,1,2,1,2,1305.81
8463000,6000,3,2,4,1,1,1,0,1,0,1,1,1410.5
8400000,8875,3,1,1,1,0,0,0,0,1,0,1,946.48
8400000,7950,5,2,2,1,0,1,1,0,2,0,0,1056.6
8400000,5500,4,2,2,1,0,1,0,1,1,1,1,1527.27
8400000,7475,3,2,4,1,0,0,0,1,2,0,0,1123.75
8400000,7000,3,1,4,1,0,0,0,1,2,0,1,1200.0
8295000,4880,4,2,2,1,0,0,0,1,1,1,2,1699.8
8190000,5960,3,3,2,1,1,1,0,0,1,0,0,1374.16
8120000,6840,5,1,2,1,1,1,0,1,1,0,2,1187.13
8080940,7000,3,2,4,1,0,0,0,1,2,0,2,1154.42
8043000,7482,3,2,3,1,0,0,1,0,1,1,2,1074.98
7980000,9000,4,2,4,1,0,0,0,1,2,0,2,886.67
7962500,6000,3,1,4,1,1,0,0,1,2,0,0,1327.08
7910000,6000,4,2,4,1,0,0,0,1,1,0,1,1318.33
7875000,6550,3,1,2,1,0,1,0,1,0,1,2,1202.29
7840000,6360,3,2,4,1,0,0,0,1,0,1,2,1232.7
7700000,6480,3,2,4,1,0,0,0,1,2,0,0,1188.27
7700000,6000,4,2,4,1,0,0,0,0,2,0,1,1283.33
7560000,6000,4,2,4,1,0,0,0,1,1,0,2,1260.0
7560000,6000,3,2,3,1,0,0,0,1,0,0,1,1260.0
7525000,6000,3,2,4,1,0,0,0,1,1,0,2,1254.17
7490000,6600,3,1,4,1,0,0,0,1,3,1,2,1134.85
7455000,4300,3,2,2,1,0,1,0,0,1,0,0,1733.72
7420000,7440,3,2,1,1,1,1,0,1,0,1,1,997.31
7420000,7440,3,2,4,1,0,0,0,0,1,1,0,997.31
7420000,6325,3,1,4,1,0,0,0,1,1,0,0,1173.12
7350000,6000,4,2,4,1,1,0,0,1,1,0,2,1225.0
7350000,5150,3,2,4,1,0,0,0,1,2,0,1,1427.18
7350000,6000,3,2,2,1,1,0,0,1,1,0,1,1225.0
7350000,6000,3,1,2,1,0,0,0,1,1,0,0,1225.0
7343000,11440,4,1,2,1,0,1,0,0,1,1,1,641.87
7245000,9000,4,2,4,1,1,0,0,1,1,1,2,805.0
7210000,7680,4,2,4,1,1,0,0,1,1,0,1,938.8
7210000,6000,3,2,4,1,1,0,0,1,1,0,2,1201.67
7140000,6000,3,2,2,1,1,0,0,0,1,0,1,1190.0
7070000,8880,2,1,1,1,0,0,0,1,1,0,1,796.17
7070000,6240,4,2,2,1,0,0,0,1,1,0,2,1133.01
7035000,6360,4,2,3,1,0,0,0,1,2,1,2,1106.13
7000000,11175,3,1,1,1,0,1,0,1,1,1,2,626.4
6930000,8880,3,2,2,1,0,1,0,1,1,0,2,780.41
6930000,13200,2,1,1,1,0,1,1,0,1,0,2,525.0
6895000,7700,3,2,1,1,0,0,0,0,2,0,0,895.45
6860000,6000,3,1,1,1,0,0,0,1,1,0,2,1143.33
6790000,12090,4,2,2,1,0,0,0,0,2,1,2,561.62
6790000,4000,3,2,2,1,0,1,0,1,0,1,1,1697.5
